公司全称,职位名称,薪资范围,公司规模,技能标签,公司行业,所需资历,公司位置,教育程度,公司地址
备实必（上海）软件科技有限公司,bi数据分析师,7k-14k,少于15人,"['数据挖掘', '数据架构', '数据仓库', '数据分析']","移动互联网,数据服务",1-3年,浦东新区,本科,世纪大道
上海游族互娱网络科技有限公司,资深游戏数据分析师,16k-30k,500-2000人,['数据分析'],"移动互联网,游戏",1-3年,徐汇区,本科,虹漕路
欧泰谱（深圳）科技有限公司,CRM数据分析经理(SQL),9k-15k,150-500人,"['SQLServer', 'MySQL']",数据服务 企业服务,3-5年,黄浦区,本科,陆家浜路
上海印付信息科技有限公司,风控数据分析师,10k-20k,50-150人,['数据分析'],金融,1-3年,杨浦区,本科,江浦公园
深圳虾皮信息科技有限公司,BI Manager - BI数据分析经理,14k-18k,2000人以上,"['数据分析', '数据挖掘', '数据处理', '算法']",电子商务,5-10年,徐汇区,本科,东兰路
北京京东世纪贸易有限公司,风控数据分析,20k-30k,2000人以上,['数据分析'],"电子商务,数据服务",3-5年,长宁区,本科,
上海思舶信息技术有限公司,市场推广数据分析 （互联网、线上广告）,8k-15k,15-50人,[],电子商务,1-3年,徐汇区,本科,虹漕路
上海韩创网络科技有限公司,运营数据分析师,10k-20k,500-2000人,['用户'],"移动互联网,文化娱乐",3-5年,浦东新区,不限,张江高科
上海旺旺食品集团有限公司,销售数据分析,5k-7k,2000人以上,"['销售', '客户代表']","电子商务,移动互联网",不限,闵行区,大专,
上海伯汉网络科技有限公司,bi数据分析师,15k-18k,15-50人,['数据分析'],"移动互联网,数据服务",3-5年,静安区,大专,淮海中路
霍尔果斯旗发信息技术有限公司上海分公司,风控数据分析,10k-20k,150-500人,"['BI', '数据分析', '数据库']","移动互联网,数据服务",1-3年,杨浦区,不限,杨树浦路
上海传智播客教育培训有限公司,Python数据分析师,30k-45k,2000人以上,"['数据挖掘', '数据处理']","移动互联网,教育",5-10年,浦东新区,本科,
深圳寻找母星网络科技有限公司,数据分析BI实习生,2k-4k,50-150人,"['BI', '数据分析']","移动互联网,O2O",应届毕业生,徐汇区,本科,东兰路
携程计算机技术（上海）有限公司,商业数据分析师,8k-16k,2000人以上,"['BI', '数据分析']","移动互联网,旅游",1-3年,长宁区,本科,淞虹路
欧泰谱（深圳）科技有限公司,CRM商业数据分析师 （SQL）,6k-10k,150-500人,"['MySQL', 'SQLServer', '数据仓库']",数据服务 企业服务,1-3年,黄浦区,本科,陆家浜路
径卫视觉科技（上海）有限公司,大数据分析工程师,25k-40k,150-500人,"['数据挖掘', '算法']","硬件,信息安全",3-5年,杨浦区,硕士,江浦公园
前锦网络信息技术（上海）有限公司,大数据分析工程师,10k-20k,2000人以上,"['数据挖掘', '数据分析']","移动互联网,招聘",1-3年,浦东新区,本科,广兰路
北京字节跳动科技有限公司,业务中台数据分析师,20k-40k,2000人以上,[],"移动互联网,数据服务",3-5年,徐汇区,本科,
上海卯聚信息科技有限公司,大数据分析实习生,4k-5k,50-150人,['数据分析'],数据服务 移动互联网,不限,静安区,本科,上海火车站
上海海万信息科技股份有限公司,大数据分析,8k-16k,500-2000人,"['Hadoop', 'Spark', 'Oracle', 'Hive']","移动互联网,金融",3-5年,浦东新区,大专,
成都歆慕网络科技有限公司,商业分析专家（数据分析）,25k-50k,少于15人,[],"电子商务,企业服务",3-5年,普陀区,本科,真如
上海元聚网络科技有限公司,大数据分析工程师,10k-20k,150-500人,"['数据挖掘', '数据分析']",移动互联网,1-3年,闵行区,不限,虹梅路
上海丽梨秀商贸有限公司,销售分析(数据分析) 主管/专员,8k-15k,少于15人,['数据分析'],"移动互联网,电子商务",3-5年,长宁区,大专,水城路
上海晓途网络科技有限公司,反欺诈大数据分析 (MJ000079),20k-30k,50-150人,"['风控', '信贷风险管理', '风险管理', '风险分析']",移动互联网,3-5年,长宁区,本科,延安西路
北京贝斯平云科技有限公司,运维工程师（数据分析方向）,10k-18k,150-500人,"['Oracle', 'SQLServer']",不限,1-3年,徐汇区,本科,交通大学
上海盛付通电子支付服务有限公司,产品经理（数据分析方向）,15k-25k,150-500人,[],"移动互联网,金融",3-5年,浦东新区,本科,
北京三快在线科技有限公司,销售运营（数据分析方向）,10k-20k,2000人以上,['运营'],"移动互联网,O2O",1-3年,长宁区,本科,
上海嵩恒网络科技股份有限公司,审计助理（数据分析岗）,5k-7k,150-500人,['数据分析'],"移动互联网,社交网络",不限,浦东新区,本科,广兰路
